#,File Path,Type,Size (Bytes),Purpose,Referenced By Count,Runtime Used,Test Used,Data Dep,Legacy,Deletion Risk,Recommendation
1,.env,CONFIGURATION,181,Critical environment configuration (.env),243,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
2,.env.example,OTHER,119,,1,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
3,areas.json,OTHER,8813,,0,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
4,docker-compose.yml,OTHER,437,,1,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
5,Dockerfile,CONFIGURATION,285,Critical environment configuration (Dockerfile),3,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
6,README.md,OTHER,1042,,0,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
7,requirements.txt,CONFIGURATION,190,Critical environment configuration (requirements.txt),3,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
8,stage24_5_backend_audit.json,OTHER,1419,,3,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
9,temp.py,OTHER,386,,0,False,False,False,False,🟡 DELETE = LOW RISK,ARCHIVE
10,app/api/main.py,PRODUCTION_SOURCE,2885,Core backend production module (app/api/main.py),6,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
11,app/api/routes.py,PRODUCTION_SOURCE,14470,Core backend production module (app/api/routes.py),6,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
12,app/api/search_routes.py,PRODUCTION_SOURCE,1124,Core backend production module (app/api/search_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
13,app/api/v1/debug_routes.py,PRODUCTION_SOURCE,1459,Core backend production module (app/api/v1/debug_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
14,app/api/v1/hotel_routes.py,PRODUCTION_SOURCE,3881,Core backend production module (app/api/v1/hotel_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
15,app/api/v1/recommend_routes.py,PRODUCTION_SOURCE,1438,Core backend production module (app/api/v1/recommend_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
16,app/api/v1/search_routes.py,PRODUCTION_SOURCE,617,Core backend production module (app/api/v1/search_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
17,app/api/v1/system_routes.py,PRODUCTION_SOURCE,1670,Core backend production module (app/api/v1/system_routes.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
18,app/config/config.py,PRODUCTION_SOURCE,1922,Core backend production module (app/config/config.py),5,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
19,app/domain/models.py,PRODUCTION_SOURCE,3226,Core backend production module (app/domain/models.py),3,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
20,app/repositories/base.py,PRODUCTION_SOURCE,2121,Core backend production module (app/repositories/base.py),2,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
21,app/repositories/db_schema.py,PRODUCTION_SOURCE,8333,Core backend production module (app/repositories/db_schema.py),3,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
22,app/repositories/embedding_repository.py,PRODUCTION_SOURCE,1334,Core backend production module (app/repositories/embedding_repository.py),2,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
23,app/repositories/factory.py,PRODUCTION_SOURCE,1587,Core backend production module (app/repositories/factory.py),3,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
24,app/repositories/hotel_repository.py,PRODUCTION_SOURCE,10183,Core backend production module (app/repositories/hotel_repository.py),2,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
25,app/repositories/pgvector_embedding_repository.py,PRODUCTION_SOURCE,5732,Core backend production module (app/repositories/pgvector_embedding_repository.py),2,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
26,app/repositories/postgres_hotel_repository.py,PRODUCTION_SOURCE,11009,Core backend production module (app/repositories/postgres_hotel_repository.py),2,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
27,app/repositories/postgres_trace_repository.py,PRODUCTION_SOURCE,2827,Core backend production module (app/repositories/postgres_trace_repository.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
28,app/repositories/trace_repository.py,PRODUCTION_SOURCE,3314,Core backend production module (app/repositories/trace_repository.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
29,app/repositories/__init__.py,PRODUCTION_SOURCE,562,Core backend production module (app/repositories/__init__.py),0,True,False,False,False,🔴 DELETE = HIGH RISK,KEEP
