user_id,budget_preference,preferred_area,travel_purpose,amenity_preferences
8d63328b-b8f5-49e8-b079-ef905e979000,Budget,Paharganj,Family,Spa|Gym|Parking
aed195e5-c072-4e8c-8b2a-e059c9ed5269,Budget,Dwarka,Family,Gym|WiFi|Parking
9cf8a809-9280-44e6-a449-7763669097d1,Luxury,Sector 43,Business,WiFi|Spa|Gym|Breakfast
4ecb7f65-2af8-4ec7-8b12-9554a9b0e195,Budget,Sector 57,Family,Pool|Parking
9854e937-8208-487c-850b-333b4361aa4b,Mid-Range,Manesar,Family,Spa|Parking|Gym|Breakfast
986b321c-89a3-42a6-8a29-7c0a4a6fa629,Budget,Other,Family,Pool|WiFi|Spa|Parking
5804cbde-16f5-4f86-9c79-c7a496dd5fed,Mid-Range,Loni,Solo,Spa|Breakfast|Parking|Pool
3a6e0b68-74dc-4717-9176-72f6e8e3a7bd,Mid-Range,Imt Manesar,Solo,WiFi|Gym|Pool
7b62c419-e6b2-4d8b-bb06-aabe02b68533,Mid-Range,Other,Leisure,Gym|Pool
44b2c638-8bef-4048-8c5a-ebbc137701de,Budget,New Industrial Township,Leisure,WiFi|Spa|Parking
0b26c8e7-179c-40f6-9134-e8c30e352bfb,Budget,Paschim Vihar,Leisure,Parking|Pool|Breakfast|Spa
59d00233-6f03-4537-aedd-506822d32e60,Budget,Delhi,Family,Pool|Gym|Breakfast
104bc144-8fe5-4f73-81e8-b7f224365b3f,Mid-Range,Sector 57,Leisure,Breakfast|WiFi
283ab683-de94-4819-8ebb-c48ea454754e,Mid-Range,Loni,Leisure,Breakfast|Parking
55c5c8e8-95c2-4bf8-83d3-cdef857972b5,Mid-Range,Chhatarpur,Leisure,Pool|Gym|Spa
298dfa59-b079-46a7-9255-4f0b61fa762d,Luxury,New Industrial Township,Family,Gym|WiFi|Pool|Parking
45c71378-3b1e-4de8-b453-c0feb181abf5,Mid-Range,New Industrial Township,Leisure,Gym|Pool|WiFi
242f6ed7-3900-4e83-be98-d787898fd382,Budget,Paschim Vihar,Leisure,Spa|Breakfast
7d3689e7-f1c2-4b72-a1ae-8d6d4f2839a6,Mid-Range,Loni,Family,Breakfast|Parking
eef96bc8-b043-4079-9da9-5a76681d3eea,Budget,Gurugram,Couple,Breakfast|Gym|Pool|WiFi
34c5fd82-866e-41d3-84cd-f06635dabcd4,Mid-Range,Manesar,Solo,Spa|Breakfast
da47b46c-39a2-4b9f-9340-7c0218a3cd9c,Mid-Range,Imt Manesar,Family,Pool|Spa|Parking
2c608aba-2fba-4421-8dd9-3f1742cdb95c,Mid-Range,Burari,Business,Breakfast|Parking|WiFi
197d693f-5dce-46d4-843e-1c31ab8463ee,Luxury,Sector 43,Leisure,Spa|Breakfast
0bac33d6-17bc-44d5-aa57-dcf4ae3d866c,Budget,Delhi,Family,Breakfast|Parking|WiFi
3369e67b-5b51-4ceb-a39a-638e7bc518de,Mid-Range,Loni,Leisure,Parking|WiFi
7e16b6c4-85ec-4cdb-b438-9924bb9a18c6,Budget,Sector 43,Family,Pool|WiFi
e93b6cc2-e8b9-473d-8647-fe7a3e6f5717,Budget,Chhatarpur,Business,Gym|Spa|Pool
a73c3fa8-df38-4b1c-b1bb-5e3ade9d5aeb,Mid-Range,Delhi,Business,Breakfast|Parking
280b1f0f-0c6b-47a9-8ab8-84a6889bec21,Mid-Range,Chhatarpur,Couple,Breakfast|Pool|Gym|Parking
a272ba94-3ed3-4133-8c62-e2afbf5a0a80,Budget,Sector 38,Family,Parking|WiFi
80e1e5ea-0c1d-4e34-bc08-037e85e00384,Mid-Range,Sector 57,Couple,Pool|Breakfast|Gym|WiFi
69805d1a-430b-40a4-9964-f3bf9986ccc9,Budget,Burari,Leisure,Gym|Spa
5c29f76c-0959-46fd-8c1c-599590497a61,Luxury,Sector 38,Business,Pool|Gym
893e5714-054b-4a75-9e97-22290d2ce7c0,Budget,Sector 53,Leisure,Parking|Breakfast|WiFi|Gym
1bb7a3cf-aefe-4a9f-92f6-147e2513c38f,Mid-Range,Sector 43,Business,Pool|Spa|Parking
bf084b94-4ff5-4841-afad-85b42bcb7d9b,Mid-Range,Chhatarpur,Business,WiFi|Spa|Pool|Breakfast
66d61d38-7928-4dcf-9b77-7bd201b7df04,Mid-Range,Sector 38,Business,Parking|WiFi|Breakfast
c9da429b-bcf2-45ef-a9f7-60decad054e9,Budget,Other,Leisure,Gym|WiFi|Breakfast
dd9fc025-15cd-44ad-9cf7-409c0288e1c9,Budget,Paschim Vihar,Business,Gym|Breakfast
173b425d-7478-42b8-aba5-34f891734d95,Luxury,Paharganj,Business,Parking|Pool|WiFi
cfa4f9ed-92f7-41ed-9c87-07e1c0a24104,Mid-Range,Chhatarpur,Leisure,WiFi|Breakfast|Parking
92964dac-16dc-4d45-97de-c2e009e7ea46,Mid-Range,Rohini,Business,Breakfast|Spa
3c51afb3-5e62-4156-a527-21b73a1e4c4e,Mid-Range,Sector 53,Business,Breakfast|WiFi
5be95d9e-9c32-4403-a18c-9456a35e7b95,Luxury,Chhatarpur,Family,Spa|Pool|Gym
28c08d9e-b6a2-4885-9c91-9e02f3fe146d,Mid-Range,Paharganj,Leisure,Pool|WiFi|Gym
aafedbd4-5afc-42d2-aba2-3975f8f3520e,Budget,Imt Manesar,Business,Gym|WiFi
5f8a77fd-4e57-4e7f-8291-9e6fc075064f,Mid-Range,Paharganj,Family,Pool|Parking|Gym|WiFi
eb99bac9-d6a3-489a-8266-eead618a417d,Budget,Delhi,Leisure,Parking|WiFi|Spa
7444dec3-6195-4c1c-9a1e-0eb5551e1ecc,Mid-Range,Sector 38,Couple,Breakfast|Parking
d36cfa7f-2179-4310-a939-45f352c972ac,Mid-Range,Mahipalpur,Leisure,Parking|Gym|Pool
da9c155d-74c5-4b86-9bfa-cae0d9c8a142,Mid-Range,Mahipalpur,Solo,Parking|WiFi
a58fe1e0-d1e4-48e8-8ea3-9f286b1c1fe0,Luxury,Sector 57,Solo,Parking|Pool|Spa|Breakfast
13d670ee-fb3e-479f-9cb0-e63eb3b08b8d,Mid-Range,Sector 43,Business,Gym|Pool|WiFi
f955e15a-b03e-459a-90b3-d685f3c5b043,Mid-Range,Imt Manesar,Leisure,Parking|Pool|Spa|Breakfast
da0162ed-f59a-4859-9c14-d37c40b7a2b1,Budget,Paschim Vihar,Couple,Pool|Gym|Breakfast|WiFi
2864aa48-090e-4438-b972-24b34d654847,Budget,New Delhi,Business,Parking|WiFi
aef12d1b-0793-4f8f-93be-dada26f47ca7,Budget,Delhi,Business,Pool|Parking|WiFi|Gym
3d6f2b92-73e6-4063-bac7-54120c0a2eca,Mid-Range,Shahdara,Leisure,Parking|Pool|Spa|Breakfast
05c7577b-09e6-45aa-a736-806e4342369b,Mid-Range,Sector 57,Solo,Pool|Parking|Gym
154d1736-bd3d-4d3c-ad99-3e2dcbe3cae6,Budget,Paschim Vihar,Leisure,Spa|Parking|WiFi|Breakfast
51a87217-1bae-40ea-8183-ad3fc2245e8b,Luxury,Sector 38,Leisure,Pool|Breakfast|Spa
baee59dc-2265-4133-9e9a-7cae54ca8a29,Budget,Other,Solo,WiFi|Parking|Breakfast
b877b471-c8f4-4163-9930-547715aa1f0b,Mid-Range,Paschim Vihar,Business,WiFi|Parking
5eebad7b-d3e8-42f9-a41f-44dbb9b00d6b,Budget,Sector 53,Family,Breakfast|Parking
85821283-f00b-42db-b09c-635fd89988f2,Mid-Range,Sector 43,Couple,WiFi|Parking|Breakfast
64f23b3d-899b-41b1-ac13-578a6778b078,Mid-Range,Burari,Solo,Parking|Spa|Gym
f5e1490d-338d-4c31-a66b-afe8b7d8947c,Budget,Delhi,Couple,Breakfast|Spa|Gym
d8b12256-b311-42a2-a490-199ababef2b4,Mid-Range,New Industrial Township,Business,Pool|WiFi|Gym
e4a1ebd7-c97d-4ca9-9467-09104172db58,Mid-Range,Mahipalpur,Family,WiFi|Pool|Gym|Spa
20dbe3b3-cfd0-4478-b109-92cf16a1e142,Budget,Imt Manesar,Business,Parking|Spa
e1b1e5af-b397-4e3b-b84b-64f23d005b71,Budget,Gurugram,Leisure,Breakfast|WiFi|Spa|Pool
abdbb96a-401c-4963-a97d-9adb2b62d9d0,Budget,Sector 57,Business,Breakfast|Pool|Parking
e4f0b796-a814-4ae8-8531-50ab50290c9d,Budget,Loni,Leisure,WiFi|Spa
e6307a32-caeb-427b-9b1f-59ffcf5a935b,Mid-Range,Sector 53,Business,Spa|WiFi
e8bc8778-b4d2-4c78-be08-1fa3b2ab477c,Mid-Range,Gurugram,Couple,Breakfast|WiFi|Pool
db3aba4a-83da-473d-bb0d-3cfb6f2f3d68,Mid-Range,Dwarka,Solo,Breakfast|WiFi|Gym|Spa
9ac719da-1914-45e3-8bc9-fdf3ba7080c2,Mid-Range,Burari,Leisure,WiFi|Gym
