Query ID,Original Query,Query Type,Intent Category,Expected Constraints,URL,Search parameters,Filters extracted,Retrieval method used,Candidate generation count,Final ranked results
Q001,cheap budget hotels in delhi,Natural Language,Budget Search,"budget=budget, area=delhi",http://localhost:8000/recommend?query=cheap+budget+hotels+in+delhi,"{""query"": ""cheap budget hotels in delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""budget_category"": ""budget""}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.57) | #2 Hotel Hr Residency (Score: 0.56) | #3 Rich Star Guest House (Score: 0.53) | #4 Hotel Aerostar Grand (Score: 0.49) | #5 Ibis New Delhi Aerocity (Score: 0.45) | #6 Hotel Season Couple Friendlly Near Pitampura Metro (Score: 0.44) | #7 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.00)"
Q002,affordable stays under 2000 in gurugram,Natural Language,Budget Search,"budget=budget, area=gurugram",http://localhost:8000/recommend?query=affordable+stays+under+2000+in+gurugram,"{""query"": ""affordable stays under 2000 in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.70) | #2 Grand Hyatt Gurgaon (Score: 0.60) | #3 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.57) | #4 Hotel Mavens House (Score: 0.57) | #5 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.55) | #6 Collection O Hotel Cambridge (Score: 0.50)"
Q003,low cost hotel near manesar,Natural Language,Budget Search,"budget=budget, area=manesar",http://localhost:8000/recommend?query=low+cost+hotel+near+manesar,"{""query"": ""low cost hotel near manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Gurugram Manesar (Score: 0.76) | #2 Savoy Suites, Manesar (Score: 0.70) | #3 Heritage Village Resort & Spa, Manesar (Score: 0.63) | #4 Hotel Sk Residency (Score: 0.62) | #5 Hotel O V2 Stay (Score: 0.60) | #6 The Tomo Inn (Score: 0.54) | #7 Four Square (Score: 0.49)"
Q004,cheap hotel for student in delhi ncr,Natural Language,Budget Travel,budget=budget,http://localhost:8000/recommend?query=cheap+hotel+for+student+in+delhi+ncr,"{""query"": ""cheap hotel for student in delhi ncr"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {""budget_category"": ""budget""}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.73) | #2 Hotel Aerostar Grand (Score: 0.53) | #3 Ibis New Delhi Aerocity (Score: 0.45) | #4 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.00)"
Q005,luxury 5 star hotels in aerocity delhi,Natural Language,Luxury Search,"budget=luxury, area=aerocity",http://localhost:8000/recommend?query=luxury+5+star+hotels+in+aerocity+delhi,"{""query"": ""luxury 5 star hotels in aerocity delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Aerocity,Delhi NCR""}, ""soft"": {""budget_category"": ""luxury""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Aerostar Grand (Score: 0.71) | #2 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.66) | #3 Ibis New Delhi Aerocity (Score: 0.56) | #4 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.00)"
Q006,premium premium stays in gurugram,Natural Language,Luxury Search,"budget=luxury, area=gurugram",http://localhost:8000/recommend?query=premium+premium+stays+in+gurugram,"{""query"": ""premium premium stays in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.77) | #2 Grand Hyatt Gurgaon (Score: 0.66) | #3 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.62) | #4 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.62) | #5 Hotel Mavens House (Score: 0.57) | #6 Collection O Hotel Cambridge (Score: 0.55)"
Q007,best luxury hotel near airport,Natural Language,Luxury Search,"budget=luxury, area=airport",http://localhost:8000/recommend?query=best+luxury+hotel+near+airport,"{""query"": ""best luxury hotel near airport"", ""max_results"": 10}","{""hard"": {""area"": ""Airport""}, ""soft"": {""budget_category"": ""luxury""}}",Multi-Channel Hybrid Retrieval,50,
Q008,exclusive 5-star resort in manesar,Natural Language,Luxury Search,"budget=luxury, area=manesar",http://localhost:8000/recommend?query=exclusive+5-star+resort+in+manesar,"{""query"": ""exclusive 5-star resort in manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Gurugram Manesar (Score: 0.76) | #2 Savoy Suites, Manesar (Score: 0.71) | #3 Heritage Village Resort & Spa, Manesar (Score: 0.70) | #4 Hotel Sk Residency (Score: 0.58) | #5 Hotel O V2 Stay (Score: 0.55) | #6 The Tomo Inn (Score: 0.50) | #7 Four Square (Score: 0.49)"
Q009,business hotel with high speed wifi and conference room,Natural Language,Business Travel,"wifi=true, conference=true",http://localhost:8000/recommend?query=business+hotel+with+high+speed+wifi+and+conference+room,"{""query"": ""business hotel with high speed wifi and conference room"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""travel_purpose"": ""business"", ""aspects"": ""wifi"", ""amenities"": ""Free Wi-Fi""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Corporate Guest House (Score: 0.56) | #2 Hotel Blu Plaza (Score: 0.55) | #3 Hotel Hsp Suites (Score: 0.55) | #4 Hotel Walk Inn (Score: 0.54) | #5 Hotel View - A Boutique Hotel (Score: 0.54) | #6 Sky Inn By Twamev (Score: 0.54) | #7 Roomshala 170 Hotel Aura (Score: 0.54) | #8 Cs Boutique Hotel (Score: 0.53) | #9 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.53) | #10 Hotel Bk Studios & Rooms (Score: 0.53)"
Q010,hotels near cyber city gurugram for business trip,Natural Language,Business Travel,area=gurugram,http://localhost:8000/recommend?query=hotels+near+cyber+city+gurugram+for+business+trip,"{""query"": ""hotels near cyber city gurugram for business trip"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""travel_purpose"": ""business""}}",Multi-Channel Hybrid Retrieval,50,"#1 Evergreen Resort Aravali (Score: 0.71) | #2 Crs Inn - Hotels In Gurgaon (Score: 0.70) | #3 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #4 Hotel O J M K Hotel (Score: 0.65) | #5 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.63) | #6 Hotel Mavens House (Score: 0.62) | #7 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.61) | #8 Fabhotel Rr Residency - Hotel In Dlf Phase 2, Gurgaon (Score: 0.60) | #9 Nikko Blue Hotel (Score: 0.60) | #10 Royal Residence 266 (Score: 0.59)"
