Query ID,Query,Category,Intent,Expected Constraints,Returned Top Hotel,Top Hotel Score,Relevant (Yes/Partial/No),Constraint Satisfaction %,Notes
Q001,cheap budget hotels in delhi,Budget,Budget Search,"budget=budget, area=delhi",Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5693,Yes,100.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector"
Q002,affordable stays under 2000 in gurugram,Budget,Budget Search,"budget=budget, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7024,Partial,50.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q003,low cost hotel near manesar,Budget,Budget Search,"budget=budget, area=manesar",Hotel Gurugram Manesar,0.7605,Partial,50.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q004,cheap hotel for student in delhi ncr,Budget,Budget Travel,budget=budget,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.7264,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q005,luxury 5 star hotels in aerocity delhi,Luxury,Luxury Search,"budget=luxury, area=aerocity",Hotel Aerostar Grand,0.7122,No,0.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q006,premium premium stays in gurugram,Luxury,Luxury Search,"budget=luxury, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7683,Partial,50.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q007,best luxury hotel near airport,Luxury,Luxury Search,"budget=luxury, area=airport",None,0.0000,No,0.00,Retrieved 0 ranked recommendations. Provenance: N/A
Q008,exclusive 5-star resort in manesar,Luxury,Luxury Search,"budget=luxury, area=manesar",Hotel Gurugram Manesar,0.7586,Partial,50.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q009,business hotel with high speed wifi and conference room,Business,Business Travel,"wifi=true, conference=true",Hotel Corporate Guest House,0.5570,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q010,hotels near cyber city gurugram for business trip,Business,Business Travel,area=gurugram,Evergreen Resort Aravali,0.7072,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q011,stay near pragati maidan exhibition centre,Business,Business Travel,area=delhi,"Radisson Blu Plaza Hotel, Delhi Airport",0.5555,No,0.00,"Retrieved 9 ranked recommendations. Provenance: Metadata, Vector"
Q012,quiet hotel with writing desk and business center,Business,Business Travel,quiet=true,Hotel Bk Studios & Rooms,0.6091,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector"
Q013,family friendly hotel with large rooms and play area,Family,Family Travel,family=true,Family Guest House,0.5860,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q014,kid friendly resort near manesar,Family,Family Travel,area=manesar,Hotel Gurugram Manesar,0.7447,Yes,100.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q015,stays with triple bed family rooms in delhi NCR,Family,Family Travel,family=true,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5764,Yes,100.00,Retrieved 5 ranked recommendations. Provenance: Metadata
